standard_tag	months	epochs
FRENCH_R	VEND,BRUM,FRIM,NIVO,PLUV,VENT,GERM,FLOR,PRAI,MESS,THER,FRUC,COMP	
GREGORIAN	JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC	BCE
HEBREW	TSH,CSH,KSL,TVT,SHV,ADR,ADS,NSN,IYR,SVN,TMZ,AAV,ELL	
JULIAN	JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC	BCE
